Model,Mileage,City,Year,Dealer,Price
Fusion Hybrid,"52,618 Miles",Montclair,2018,Montclair Auto Exchange,"$18,502"
Fusion Energi,"68,878 Miles",Montclair,2017,Montclair Auto Exchange,"$17,413"
Escape,"20,032 Miles",Norco,2021,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$26,998"
Escape,"60,292 Miles",Montclair,2018,Montclair Auto Exchange,"$16,324"
Fusion,"54,599 Miles",Azusa,2018,California Motor Trade 2,"$16,499"
Escape,"40,696 Miles",Norwalk,2021,Hertz Car Sales Norwalk,"$20,696"
Flex,"75,223 Miles",Norco,2017,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$19,998"
Fusion,"83,434 Miles",Palmdale,2019,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$16,998"
Mustang,"53,397 Miles",Montclair,2017,Montclair Auto Exchange,"$27,065"
Mustang,"39,212 Miles",Victorville,2019,Avis Car Sales - Victorville,"$32,395"
Taurus,"130,347 Miles",Santa Ana,2013,California Motors Direct,"$9,691"
Fusion Hybrid,"66,142 Miles",Azusa,2019,California Motor Trade 2,"$17,399"
Flex,"91,717 Miles",Montclair,2014,Montclair Auto Exchange,"$15,799"
Escape,"78,432 Miles",Commerce,2017,Shift LA - Test Drives Delivered To You,"$16,950"
Mustang,"29,366 Miles",Moreno Valley,2019,Moss Bros Chrysler Jeep Dodge Moreno Valley,"$24,649"
Flex,"98,032 Miles",Azusa,2017,California Motor Trade 2,"$16,499"
F-150,"39,740 Miles",Victorville,2019,Avis Car Sales - Victorville,"$30,995"
Escape,"42,432 Miles",Palmdale,2018,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$21,998"
Escape Plug-In Hybrid,"6,430 Miles",Palmdale,2022,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$38,998"
Escape,"50,593 Miles",Anaheim,2021,Hertz Car Sales Anaheim,"$24,299"
Mustang,"39,169 Miles",Victorville,2019,Avis Car Sales - Victorville,"$23,995"
Bronco,"10,766 Miles",Culver City,2022,Culver City Honda,"$61,894"
Fusion Hybrid,"82,991 Miles",Fontana,2019,Fontana Motors Direct,"$16,499"
Mustang,"37,660 Miles",Victorville,2019,Avis Car Sales - Victorville,"$23,995"
Explorer,"103,355 Miles",Bakersfield,2016,CarMax Bakersfield - Now Open,"$19,998"
Escape,"21,976 Miles",Montclair,2022,IE Motors Direct,"$27,149"
F-250 Super Duty,New,Fontana,2023,Sunrise Ford,"$70,620"
Mustang,"25,922 Miles",Riverside,2022,Hertz Car Sales Riverside,"$26,949"
Mustang,"91,806 Miles",Santa Ana,2010,California Motors Direct,"$18,048"
Mustang,"66,255 Miles",Montclair,2018,Montclair Auto Exchange,"$36,799"
Flex,"80,244 Miles",Commerce,2018,Shift LA - Test Drives Delivered To You,"$19,400"
Escape,"60,270 Miles",Valencia,2020,Lexus Of Valencia,"$24,888"
Fusion,"54,915 Miles",Fontana,2018,Fontana Motors Direct,"$16,886"
Mustang,"35,887 Miles",Riverside,2021,RubyCar By Avis,"$27,500"
Fusion,"57,029 Miles",Montclair,2019,Montclair Auto Exchange,"$17,899"
Mustang,"58,365 Miles",Montclair,2020,Montclair Auto Exchange,"$23,499"
F-150,"82,919 Miles",Bellflower,2019,605 Auto Sales,"$28,999"
Escape,"43,605 Miles",Norwalk,2021,Hertz Car Sales Norwalk,"$20,259"
Mustang,"45,125 Miles",Victorville,2019,Avis Car Sales - Victorville,"$22,995"
Edge,"15,836 Miles",Los Angeles,2021,Universal City Nissan,"$27,900"
F-150,"108,661 Miles",Commerce,2012,Shift LA - Test Drives Delivered To You,"$18,350"
Escape,"59,629 Miles",Van Nuys,2019,Keyes European Mercedes-Benz,"$21,183"
Fiesta,"93,680 Miles",Bakersfield,2014,CarMax Bakersfield - Now Open,"$14,998"
Fusion,"58,367 Miles",Azusa,2017,California Motor Trade 2,"$14,459"
Mustang,"44,769 Miles",Norwalk,2021,Hertz Car Sales Norwalk,"$25,365"
F-150,New,Riverside,2023,Fritts Ford,"$60,490"
Fusion,"71,476 Miles",Fontana,2019,Fontana Motors Direct,"$14,874"
Edge,"63,330 Miles",Montebello,2012,LA Auto Exchange,"$14,999"
Escape,"21,132 Miles",Montclair,2020,Montclair Auto Exchange,"$20,149"
Mustang,"53,167 Miles",Montclair,2020,Montclair Auto Exchange,"$23,700"
Fusion Energi,"71,034 Miles",Montclair,2015,Montclair Auto Exchange,"$13,949"
Fusion,"92,181 Miles",Calabasas,2019,Audi Calabasas,"$21,453"
Taurus,"84,964 Miles",Montebello,2018,LA Auto Exchange,"$14,740"
Flex,"77,354 Miles",Montebello,2016,LA Auto Exchange,"$17,699"
F-150,"97,418 Miles",Los Angeles,2017,Center Acura,"$32,345"
Focus,"119,778 Miles",Westlake Village,2014,DCH Ford Of Thousand Oaks,"$7,995"
